index,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
952,[3998011],[3968356],0.018170220835416414,0.007246251889139817,0.000362025272811902,0.019924098671726755,2.749573017408851,0.00023035927575717815,1.0129355764848467
1257,[803921],"[3998011, 3908011]",0.024192482516477896,0.002223869532987398,0.00014366082254440557,0.005938242280285036,2.670229612034838,8.985989774868008e-05,1.0037365613539124
1256,"[3998011, 3908011]",[803921],0.002223869532987398,0.024192482516477896,0.00014366082254440557,0.06459948320413438,2.670229612034838,8.985989774868008e-05,1.0431975394091797
70,[348498],[2784759],0.009073617551904655,0.007372673412978893,0.0001781394199550629,0.01963267891070298,2.662898220358101,0.00011124260107059682,1.0125055224036863
71,[2784759],[348498],0.007372673412978893,0.009073617551904655,0.0001781394199550629,0.02416212003117693,2.662898220358101,0.00011124260107059682,1.0154620995853885
1238,"[3968011, 3690654]",[803921],0.0022411088316927267,0.024192482516477896,0.00014366082254440557,0.06410256410256411,2.6496893842499545,8.944283631615507e-05,1.04264364881801
1239,[803921],"[3968011, 3690654]",0.024192482516477896,0.0022411088316927267,0.00014366082254440557,0.005938242280285036,2.6496893842499545,8.944283631615507e-05,1.0037192190725386
540,[2726578],[3968356],0.018262163761844835,0.007246251889139817,0.0003505324070083496,0.01919446192573946,2.648881410609918,0.00021820016834930075,1.0121820376953203
541,[3968356],[2726578],0.007246251889139817,0.018262163761844835,0.0003505324070083496,0.048374306106264864,2.6488814106099174,0.00021820016834930075,1.0316428429135946
1364,[3998011],"[3524026, 3898011]",0.018170220835416414,0.005533814884410502,0.0002643359134817062,0.014547754585705251,2.6288834898847493,0.00016378527496965304,1.0091470081307747
1361,"[3524026, 3898011]",[3998011],0.005533814884410502,0.018170220835416414,0.0002643359134817062,0.04776739356178608,2.628883489884749,0.00016378527496965304,1.031081872775893
251,[1400555],[2726578],0.0032352417237000134,0.018262163761844835,0.000155153688347958,0.047957371225577264,2.6260508804424734,9.60711741805952e-05,1.0311910481382116
250,[2726578],[1400555],0.018262163761844835,0.0032352417237000134,0.000155153688347958,0.008495909376966645,2.6260508804424734,9.60711741805952e-05,1.0053057447800957
1063,[5618966],[9402188],0.004177656719591314,0.016440544531981773,0.0001781394199550629,0.04264099037138927,2.593648299692252,0.00010945646861728902,1.0273674197201856
1062,[9402188],[5618966],0.016440544531981773,0.004177656719591314,0.0001781394199550629,0.01083537224746592,2.5936482996922514,0.00010945646861728902,1.0067306445672257
1353,[3968356],"[3524026, 3898011]",0.007246251889139817,0.005533814884410502,0.000103435792231972,0.014274385408406027,2.5794837208268175,6.333637567166236e-05,1.0088671435484782
1348,"[3524026, 3898011]",[3968356],0.005533814884410502,0.007246251889139817,0.000103435792231972,0.018691588785046728,2.579483720826817,6.333637567166236e-05,1.0116633433129718
26,[264715],[2784759],0.014716614661448905,0.007372673412978893,0.00027582877928525865,0.018742678641155797,2.5421821354735568,0.00016732798564173895,1.0115871800196423
27,[2784759],[264715],0.007372673412978893,0.014716614661448905,0.00027582877928525865,0.03741231488698363,2.5421821354735563,0.00016732798564173895,1.023577800315272
1397,"[3978011, 7808101]",[3524026],0.0007642755759362375,0.05325219370076025,0.000103435792231972,0.13533834586466167,2.54146048189428,6.273644122145537e-05,1.0949344194591206
1398,[3524026],"[3978011, 7808101]",0.05325219370076025,0.0007642755759362375,0.000103435792231972,0.0019423761735189381,2.5414604818942794,6.273644122145537e-05,1.0011803933655312
1132,[264715],"[3524026, 3898011]",0.014716614661448905,0.005533814884410502,0.000206871584463944,0.014057008980866849,2.5402022428446833,0.00012543256320228424,1.008644712903376
1129,"[3524026, 3898011]",[264715],0.005533814884410502,0.014716614661448905,0.000206871584463944,0.037383177570093455,2.540202242844683,0.00012543256320228424,1.0235468177788831
53,[5618966],[264715],0.004177656719591314,0.014716614661448905,0.000155153688347958,0.037138927097661624,2.5236053231012003,9.367272421791993e-05,1.0232871730587523
52,[264715],[5618966],0.014716614661448905,0.004177656719591314,0.000155153688347958,0.010542756735650137,2.5236053231012,9.367272421791993e-05,1.0064329207344618
951,[3968356],[3988011],0.007246251889139817,0.006976169542756334,0.0001264215238390769,0.017446471054718478,2.5008668364194104,7.587044211091915e-05,1.0106562148560003
950,[3988011],[3968356],0.006976169542756334,0.007246251889139817,0.0001264215238390769,0.01812191103789127,2.5008668364194104,7.587044211091915e-05,1.011076384401497
110,[2726578],[493803],0.018262163761844835,0.0041029530918682226,0.0001838858528568391,0.010069225928256764,2.4541411278167655,0.00010895705158597404,1.0060269596548133
111,[493803],[2726578],0.0041029530918682226,0.018262163761844835,0.0001838858528568391,0.04481792717086835,2.4541411278167655,0.00010895705158597404,1.0278017816334937
1162,[348498],"[3524026, 3978011]",0.009073617551904655,0.007527827101326851,0.00016664655415151046,0.018366054464851175,2.4397550870441727,9.83419300372076e-05,1.0110410071012936
1159,"[3524026, 3978011]",[348498],0.007527827101326851,0.009073617551904655,0.00016664655415151046,0.022137404580152672,2.4397550870441727,9.83419300372076e-05,1.0133595324020335
1378,"[3524026, 3978011]",[3968356],0.007527827101326851,0.007246251889139817,0.0001321679567408531,0.017557251908396947,2.422942533188854,7.76194253867455e-05,1.0104952680848693
1383,[3968356],"[3524026, 3978011]",0.007246251889139817,0.007527827101326851,0.0001321679567408531,0.018239492466296588,2.422942533188854,7.76194253867455e-05,1.0109106704565645
35,[264715],[3582465],0.014716614661448905,0.008711592279092753,0.0003045609437941398,0.02069504099960953,2.3755750196524077,0.0001763557971350783,1.0122366874693953
34,[3582465],[264715],0.008711592279092753,0.014716614661448905,0.0003045609437941398,0.03496042216358839,2.3755750196524072,0.0001763557971350783,1.0209771785189634
59,[9402188],[264715],0.016440544531981773,0.014716614661448905,0.0005746432901776223,0.03495281370150297,2.3750580215342634,0.0003326941314760557,1.0209691291030767
58,[264715],[9402188],0.014716614661448905,0.016440544531981773,0.0005746432901776223,0.03904724716907458,2.3750580215342634,0.0003326941314760557,1.0235253008750893
1141,"[3978011, 3898011]",[264715],0.006280851161641411,0.014716614661448905,0.00021836445026749646,0.03476669716376945,2.3624113264882167,0.0001259315839757061,1.0207722655687548
1144,[264715],"[3978011, 3898011]",0.014716614661448905,0.006280851161641411,0.00021836445026749646,0.014837953924248342,2.3624113264882167,0.0001259315839757061,1.0086859850079415
198,[803921],[3978011],0.024192482516477896,0.045310623430505514,0.0025514162083886426,0.10546318289786223,2.3275597401482413,0.0014552397432354243,1.0672443641416813
199,[3978011],[803921],0.045310623430505514,0.024192482516477896,0.0025514162083886426,0.05630944831959416,2.3275597401482413,0.0014552397432354243,1.0340333658591012
898,[3898011],[3968356],0.018187460134121744,0.007246251889139817,0.00028732164508881114,0.015797788309636653,2.1801323706830136,0.00015553072773327633,1.008688800247471
899,[3968356],[3898011],0.007246251889139817,0.018187460134121744,0.00028732164508881114,0.03965107057890563,2.180132370683013,0.00015553072773327633,1.0223498041047667
